Date,Particular,Thickness,Voucher No.,Quantity,Weight Per Piece,Weight,Rate,Value
2022-04-14,3.30MM DIR,3.3,AK082,1,7.392,7.392,368.49,368
2022-04-14,11MM DWR,11.0,AK083,20,24.64,492.8,1383.59,27672
2022-04-14,11MM DIR,11.0,AK083,10,24.64,246.4,1064.44,10644
2022-04-14,17MM DWR,17.0,AK084,3,38.080000000000005,114.24000000000001,2176.0,6528
2022-04-15,3.30MM DWR,3.3,AK086,3,7.392,22.176000000000002,479.03,1437
2022-04-15,11MM DWR,11.0,AK086,2,24.64,49.28,1449.91,2900
2022-04-15,17MM DWR,17.0,AK086,8,38.080000000000005,304.64000000000004,2134.02,17072
2022-04-15,11MM DWR,11.0,AK089,2,24.64,49.28,512.0,1024
2022-04-16,3.30MM DWR,3.3,AK097,10,7.392,73.92,448.59,4486
2022-04-16,3.30MM DWR,3.3,AK098,4,7.392,29.568,479.03,1916
2022-04-16,17MM DWR,17.0,AK099,3,38.080000000000005,114.24000000000001,2134.02,6402
2022-04-16,3.30MM DWR,3.3,AK100,2,7.392,14.784,478.4,957
2022-04-18,3.30MM DWR,3.3,AK103,5,7.392,36.96,479.03,2395
2022-04-18,5.50MM DWR,5.5,AK103,5,12.32,61.6,772.22,3861
2022-04-18,11MM DWR,11.0,AK103,15,24.64,369.6,1449.91,21749
2022-04-18,5.50MM DWR,5.5,AK104,5,12.32,61.6,772.22,3861
2022-04-18,7.50MM DWR,7.5,AK104,5,16.8,84.0,975.69,4878
2022-04-18,3.30MM DWR,3.3,AK110,5,7.392,36.96,479.03,2395
2022-04-18,3.30MM DIR,3.3,AK110,1,7.392,7.392,368.49,368
2022-04-18,3.30MM DWR,3.3,AK111,2,7.392,14.784,512.68,1025
2022-04-18,3.30MM DWR,3.3,AK112,1,7.392,7.392,513.0,513
2022-04-18,3.30MM DWR,3.3,AK113,1,7.392,7.392,513.0,513
2022-04-18,3.30MM DWR,3.3,AK114,10,7.392,73.92,479.03,4790
2022-04-18,8MM HDHMR,8.0,AK104,1,17.92,17.92,1299.31,1299
2022-04-19,3.30MM DWR,3.3,AK117,15,7.392,110.88000000000001,479.03,7185
2022-04-19,3.30MM DWR,3.3,AK118,20,7.392,147.84,479.03,9581
2022-04-19,7.50MM DWR,7.5,AK118,10,16.8,168.0,975.69,9757
2022-04-19,3.30MM DWR,3.3,AK119,4,7.392,29.568,479.03,1916
2022-04-19,3.30MM DWR,3.3,AK121,2,7.392,14.784,512.0,1024
2022-04-19,5.50MM DWR,5.5,AK121,2,12.32,24.64,800.0,1600
2022-04-20,5.50MM DWR,5.5,AK124,2,12.32,24.64,769.01,1538
2022-04-20,3.30MM DWR,3.3,AK124,4,7.392,29.568,448.59,1794
2022-04-20,5.50MM DWR,5.5,AK124,5,12.32,61.6,769.01,3845
2022-04-20,11MM DWR,11.0,AK127,7,24.64,172.48000000000002,1449.91,10149
2022-04-20,3.30MM DWR,3.3,AK127,2,7.392,14.784,479.03,958
2022-04-20,17MM DWR,17.0,AK128,4,38.080000000000005,152.32000000000002,2134.02,8536
2022-04-21,3.30MM DWR,3.3,AK136,15,7.392,110.88000000000001,479.03,7185
2022-04-21,3.30MM DWR,3.3,AK141,10,7.392,73.92,479.03,4790
2022-04-21,7.50MM DWR,7.5,AK142,5,16.8,84.0,975.8,4879
2022-04-21,3.30MM DWR,3.3,AK142,10,7.392,73.92,479.0,4790
2022-04-21,5.50MM DWR,5.5,AK142,10,12.32,123.2,772.2,7722
2022-04-21,11MM DWR,11.0,AK142,2,24.64,49.28,1450.0,2900
2022-04-22,3.30MM DWR,3.3,AK143,2,7.392,14.784,479.03,958
2022-04-22,17MM DWR,17.0,AK143,1,38.080000000000005,38.080000000000005,2134.02,2134
2022-04-22,3.30MM DWR,3.3,AK144,10,7.392,73.92,479.03,4790
2022-04-22,25MM DWR,25.0,AK144,1,56.00000000000001,56.00000000000001,3473.38,3473
2022-04-22,5.50MM DWR,5.5,AK144,15,12.32,184.8,772.22,11583
2022-04-22,3.30MM DWR,3.3,AK147,10,7.392,73.92,479.03,4790
2022-04-22,25MM DWR,25.0,AK148,2,56.00000000000001,112.00000000000001,3473.38,6947
2022-04-23,5.50MM DWR,5.5,AK151,2,12.32,24.64,801.0,1602
2022-04-23,17MM DWR,17.0,AK156,1,38.080000000000005,38.080000000000005,2134.02,2134
2022-04-23,3.30MM DWR,3.3,AK156,1,7.392,7.392,479.03,479
2022-04-23,5.50MM DWR,5.5,AK161,33,12.32,406.56,756.84,24976
2022-04-25,3.30MM DWR,3.3,AK163,6,7.392,44.352000000000004,479.03,2874
2022-04-25,17MM DWR,17.0,AK163,1,38.080000000000005,38.080000000000005,2134.02,2134
2022-04-25,11MM DIR,11.0,AK167,2,24.64,49.28,1115.07,2230
2022-04-25,17MM DIR,17.0,AK167,10,38.080000000000005,380.80000000000007,1602.11,16021
2022-04-26,3.30MM DWR,3.3,AK177,10,7.392,73.92,479.03,4790
2022-04-26,3.30MM DWR,3.3,AK179,10,7.392,73.92,479.03,4790
2022-04-26,3.30MM DIR,3.3,AK179,8,7.392,59.136,368.49,2948
2022-04-27,5.50MM DWR,5.5,AK181,14,12.32,172.48000000000002,772.22,10811
2022-04-27,11MM DIR,11.0,AK181,2,24.64,49.28,1115.07,2230
2022-04-27,3.30MM DWR,3.3,AK184,2,7.392,14.784,479.03,958
2022-04-27,5.50MM DWR,5.5,AK184,2,12.32,24.64,772.22,1544
2022-04-27,3.30MM DIR,3.3,AK185,6,7.392,44.352000000000004,368.49,2211
2022-04-27,3.30MM DIR,3.3,AK188,2,7.392,14.784,312.41,625
2022-04-28,3.30MM DWR,3.3,AK191,15,7.392,110.88000000000001,479.03,7185
2022-04-28,5.50MM DWR,5.5,AK192,3,12.32,36.96,772.22,2317
2022-04-28,3.30MM DWR,3.3,AK192,1,7.392,7.392,479.03,479
2022-04-28,3.30MM DWR,3.3,AK192,12,7.392,88.70400000000001,479.03,5748
2022-04-28,3.30MM DIR,3.3,AK194,4,7.392,29.568,368.49,1474
2022-04-28,3.30MM DWR,3.3,AK195,10,7.392,73.92,448.59,4486
2022-05-03,3.30MM DIR,3.3,AK217,60,7.392,443.52000000000004,368.49,22109
2022-05-03,3.30MM DWR,3.3,AK218,20,7.392,147.84,479.03,9581
2022-05-04,3.30MM DWR,3.3,AK222,3,7.392,22.176000000000002,479.03,1437
2022-05-04,25MM DWR,25.0,AK222,3,56.00000000000001,168.00000000000003,3473.33,10420
2022-05-04,3.30MM DWR,3.3,AK222,8,7.392,59.136,479.0,3832
2022-05-04,3.30MM DWR,3.3,AK223,15,7.392,110.88000000000001,479.03,7185
2022-05-04,11MM DWR,11.0,AK224,2,24.64,49.28,1450.0,2900
2022-05-04,5.50MM DWR,5.5,AK225,10,12.32,123.2,772.22,7722
2022-05-04,25MM DWR,25.0,AK225,1,56.00000000000001,56.00000000000001,3473.38,3473
2022-05-04,18MM HDHMR,18.0,AK224,2,40.32000000000001,80.64000000000001,2944.5,5889
2022-05-05,3.30MM DWR,3.3,AK226,2,7.392,14.784,479.03,958
2022-05-05,5.50MM DWR,5.5,AK227,2,12.32,24.64,772.22,1544
2022-05-06,3.30MM DIR,3.3,AK230,2,7.392,14.784,368.49,737
2022-05-06,5.50MM DIR,5.5,AK230,2,12.32,24.64,592.78,1186
2022-05-06,7.50MM DIR,7.5,AK230,2,16.8,33.6,749.79,1500
2022-05-06,17MM DIR,17.0,AK230,8,38.080000000000005,304.64000000000004,1642.17,13137
2022-05-06,11MM DWR,11.0,AK231,1,24.64,24.64,1449.91,1450
2022-05-06,3.30MM DWR,3.3,AK232,10,7.392,73.92,479.03,4790
2022-05-06,11MM DWR,11.0,AK233,10,24.64,246.4,1449.91,14499
2022-05-06,7.50MM DWR,7.5,AK233,10,16.8,168.0,975.69,9757
2022-05-06,3.30MM DWR,3.3,AK234,1,7.392,7.392,512.0,512
2022-05-07,3.30MM DWR,3.3,AK237,3,7.392,22.176000000000002,479.03,1437
2022-05-07,7.50MM DWR,7.5,AK237,1,16.8,16.8,975.69,976
2022-05-07,3.30MM DWR,3.3,AK238,5,7.392,36.96,479.03,2395
2022-05-07,3.30MM DWR,3.3,AK240,2,7.392,14.784,479.03,958
2022-05-09,17MM DWR,17.0,AK245,3,38.080000000000005,114.24000000000001,2134.02,6402
2022-05-09,3.30MM DWR,3.3,AK245,1,7.392,7.392,479.03,479
2022-05-09,3.30MM DWR,3.3,AK246,2,7.392,14.784,479.03,958
2022-05-09,17MM DWR,17.0,AK246,2,38.080000000000005,76.16000000000001,2134.02,4268
2022-05-09,17MM DWR,17.0,AK247,4,38.080000000000005,152.32000000000002,2178.87,8715
2022-05-09,3.30MM DWR,3.3,AK249,10,7.392,73.92,479.03,4790
2022-05-09,5.50MM DWR,5.5,AK249,10,12.32,123.2,772.22,7722
2022-05-10,3.30MM DIR,3.3,AK253,38,7.392,280.896,368.49,14003
2022-05-10,25MM DWR,25.0,AK255,1,56.00000000000001,56.00000000000001,3473.38,3473
2022-05-10,17MM DWR,17.0,AK256,1,38.080000000000005,38.080000000000005,2114.79,2115
2022-05-10,25MM DWR,25.0,AK258,1,56.00000000000001,56.00000000000001,3473.38,3473
2022-05-11,5.50MM DWR,5.5,AK263,3,12.32,36.96,864.0,2592
2022-05-11,3.30MM DWR,3.3,AK266,10,7.392,73.92,479.03,4790
2022-05-11,3MM HDHMR,3.0,AK271,10,6.720000000000001,67.2,543.1,5431
2022-05-12,11MM DWR,11.0,AK279,15,24.64,369.6,1449.91,21749
2022-05-12,3.30MM DWR,3.3,AK279,25,7.392,184.8,479.03,11976
2022-05-12,5.50MM DWR,5.5,AK279,5,12.32,61.6,772.22,3861
2022-05-12,17MM DWR,17.0,AK279,5,38.080000000000005,190.40000000000003,2134.02,10670
2022-05-12,3MM HDHMR,3.0,AK277,7,6.720000000000001,47.040000000000006,543.12,3802
2022-05-13,11MM DWR,11.0,AK281,1,24.64,24.64,1449.91,1450
2022-05-13,25MM DWR,25.0,AK283,2,56.00000000000001,112.00000000000001,3473.38,6947
2022-05-13,3.30MM DWR,3.3,AK283,15,7.392,110.88000000000001,479.03,7185
2022-05-13,5.50MM DWR,5.5,AK283,3,12.32,36.96,772.22,2317
2022-05-13,3.30MM DWR,3.3,AK285,4,7.392,29.568,479.03,1916
2022-05-13,11MM DWR,11.0,AK288,5,24.64,123.2,1449.91,7250
2022-05-14,11MM DWR,11.0,AK295,15,24.64,369.6,1449.91,21749
2022-05-14,17MM DWR,17.0,AK295,2,38.080000000000005,76.16000000000001,2134.02,4268
2022-05-14,3.30MM DWR,3.3,AK295,5,7.392,36.96,479.03,2395
2022-05-14,5.50MM DWR,5.5,AK298,4,12.32,49.28,772.22,3089
2022-05-16,7.50MM DWR,7.5,AK301,2,16.8,33.6,975.69,1951
2022-05-16,7.50MM DWR,7.5,AK303,2,16.8,33.6,975.69,1951
2022-05-16,3.30MM DWR,3.3,AK307,1,7.392,7.392,512.68,513
2022-05-16,7.50MM DWR,7.5,AK308,5,16.8,84.0,975.69,4878
2022-05-16,5.50MM DWR,5.5,AK308,10,12.32,123.2,772.22,7722
2022-05-16,3.30MM DWR,3.3,AK308,25,7.392,184.8,479.03,11976
2022-05-16,5.50MM DWR,5.5,AK309,15,12.32,184.8,772.22,11583
2022-05-16,17MM DWR,17.0,AK309,2,38.080000000000005,76.16000000000001,2134.02,4268
2022-05-16,3.30MM DWR,3.3,AK309,15,7.392,110.88000000000001,479.03,7185
2022-05-16,5.50MM DWR,5.5,AK309,10,12.32,123.2,772.22,7722
2022-05-17,11MM DWR,11.0,AK316,1,24.64,24.64,1449.91,1450
2022-05-17,3.30MM DWR,3.3,AK317,2,7.392,14.784,512.68,1025
2022-05-17,17MM DWR,17.0,AK317,1,38.080000000000005,38.080000000000005,2178.87,2179
2022-05-17,11MM DWR,11.0,AK319,15,24.64,369.6,1421.07,21316
2022-05-17,7.50MM DWR,7.5,AK321,3,16.8,50.400000000000006,975.69,2927
2022-05-17,17MM DWR,17.0,AK321,8,38.080000000000005,304.64000000000004,2134.02,17072
2022-05-18,5.50MM DWR,5.5,AK326,1,12.32,12.32,772.22,772
2022-05-18,3.30MM DWR,3.3,AK326,15,7.392,110.88000000000001,479.03,7185
2022-05-18,17MM DWR,17.0,AK328,2,38.080000000000005,76.16000000000001,2179.0,4358
2022-05-18,11MM DWR,11.0,AK329,9,24.64,221.76,1538.03,13842
2022-05-19,25MM DWR,25.0,AK334,1,56.00000000000001,56.00000000000001,3473.38,3473
2022-05-19,11MM DWR,11.0,AK334,25,24.64,616.0,1449.92,36248
2022-05-20,17MM DWR,17.0,AK338,1,38.080000000000005,38.080000000000005,2134.02,2134
2022-05-20,5.50MM DWR,5.5,AK339,10,12.32,123.2,772.22,7722
2022-05-20,11MM DWR,11.0,AK339,10,24.64,246.4,1449.91,14499
2022-05-20,3.30MM DWR,3.3,AK341,5,7.392,36.96,479.03,2395
2022-05-20,11MM DWR,11.0,AK342,6,24.64,147.84,1538.03,9228
2022-05-20,5.50MM DWR,5.5,AK342,2,12.32,24.64,801.06,1602
2022-05-20,7.50MM DWR,7.5,AK344,10,16.8,168.0,975.69,9757
2022-05-20,3.30MM DWR,3.3,AK345,10,7.392,73.92,479.03,4790
2022-05-20,11MM DWR,11.0,AK345,4,24.64,98.56,1449.91,5800
2022-05-21,17MM DWR,17.0,AK348,5,38.080000000000005,190.40000000000003,2134.02,10670
2022-05-21,18MM HDHMR,18.0,AK351,2,40.32000000000001,80.64000000000001,2944.69,5889
2022-05-21,5.50MM HDHMR,5.5,AK351,2,12.32,24.64,964.47,1929
2022-05-21,12MM HDHMR,12.0,AK351,2,26.880000000000003,53.760000000000005,1977.01,3954
2022-05-23,5.50MM DWR,5.5,AK362,1,12.32,12.32,772.22,772
2022-05-23,3.30MM DWR,3.3,AK362,2,7.392,14.784,479.03,958
2022-05-23,3.30MM DWR,3.3,AK363,10,7.392,73.92,479.03,4790
2022-05-24,11MM DWR,11.0,AK369,2,24.64,49.28,1449.91,2900
2022-05-24,17MM DWR,17.0,AK369,3,38.080000000000005,114.24000000000001,2134.02,6402
2022-05-24,3.30MM DWR,3.3,AK372,1,7.392,7.392,512.68,513
2022-05-24,3.30MM DWR,3.3,AK378,10,7.392,73.92,479.0,4790
2022-05-24,11MM DWR,11.0,AK379,5,24.64,123.2,1449.91,7250
2022-05-24,3.30MM DWR,3.3,AK382,4,7.392,29.568,479.03,1916
2022-05-24,3.30MM DWR,3.3,AK382,1,7.392,7.392,479.03,479
2022-05-24,5.50MM DWR,5.5,AK382,2,12.32,24.64,772.22,1544
2022-05-25,3.30MM DIR,3.3,AK385,9,7.392,66.528,368.49,3316
2022-05-26,11MM DWR,11.0,AK388,1,24.64,24.64,1450.0,1450
2022-05-26,5.50MM DWR,5.5,AK388,3,12.32,36.96,772.33,2317
2022-05-26,25MM DWR,25.0,AK388,1,56.00000000000001,56.00000000000001,3473.0,3473
2022-05-27,5.50MM DWR,5.5,AK396,3,12.32,36.96,772.22,2317
2022-05-27,3.30MM DWR,3.3,AK396,25,7.392,184.8,479.03,11976
2022-05-27,25MM DWR,25.0,AK399,1,56.00000000000001,56.00000000000001,3473.38,3473
2022-05-27,7.50MM DWR,7.5,AK401,19,16.8,319.2,975.69,18538
2022-05-27,3MM HDHMR,3.0,AK392,13,6.720000000000001,87.36000000000001,543.12,7061
2022-05-28,5.50MM DWR,5.5,AK405,1,12.32,12.32,736.97,737
2022-05-28,11MM DWR,11.0,AK406,7,24.64,172.48000000000002,1449.91,10149
2022-05-28,5.50MM DWR,5.5,AK406,5,12.32,61.6,772.22,3861
2022-05-28,3.30MM DWR,3.3,AK406,5,7.392,36.96,479.03,2395
2022-05-31,3.30MM DWR,3.3,AK417,6,7.392,44.352000000000004,479.03,2874
2022-05-31,11MM DWR,11.0,AK420,10,24.64,246.4,1421.07,14211
2022-05-31,5.50MM DWR,5.5,AK422,3,12.32,36.96,772.22,2317
2022-05-31,17MM DIR,17.0,AK424,1,38.080000000000005,38.080000000000005,1642.17,1642
2022-06-01,3.30MM DWR,3.3,AK425,1,7.392,7.392,479.03,479
2022-06-01,11MM DWR,11.0,AK425,1,24.64,24.64,1449.91,1450
2022-06-01,17MM DWR,17.0,AK425,1,38.080000000000005,38.080000000000005,2134.02,2134
2022-06-01,25MM DWR,25.0,AK427,2,56.00000000000001,112.00000000000001,3473.38,6947
2022-06-01,3.30MM DWR,3.3,AK429,4,7.392,29.568,479.03,1916
2022-06-01,5.50MM DWR,5.5,AK430,5,12.32,61.6,772.22,3861
2022-06-01,11MM DWR,11.0,AK430,10,24.64,246.4,1449.91,14499
2022-06-01,17MM DWR,17.0,AK430,5,38.080000000000005,190.40000000000003,2134.02,10670
2022-06-01,12MM HDHMR,12.0,AK430,10,26.880000000000003,268.8,1977.01,19770
2022-06-01,5.50MM HDHMR,5.5,AK430,10,12.32,123.2,964.47,9645
2022-06-01,18MM HDHMR,18.0,AK430,10,40.32000000000001,403.20000000000005,2944.69,29447
2022-06-02,5.50MM DWR,5.5,AK432,15,12.32,184.8,772.22,11583
2022-06-02,17MM DWR,17.0,AK432,2,38.080000000000005,76.16000000000001,2134.02,4268
2022-06-02,7.50MM DWR,7.5,AK432,5,16.8,84.0,975.69,4878
2022-06-02,3.30MM DWR,3.3,AK435,20,7.392,147.84,479.03,9581
2022-06-02,3.30MM DIR,3.3,AK436,5,7.392,36.96,368.49,1842
2022-06-02,5.50MM DWR,5.5,AK440,2,12.32,24.64,772.22,1544
2022-06-02,3.30MM DWR,3.3,AK441,30,7.392,221.76000000000002,469.42,14083
2022-06-02,5.50MM DIR,5.5,AK444,30,12.32,369.6,608.8,18264
2022-06-02,11MM DIR,11.0,AK444,3,24.64,73.92,1121.48,3364
2022-06-03,5.50MM DWR,5.5,AK449,8,12.32,98.56,772.22,6178
2022-06-03,3.30MM DWR,3.3,AK450,6,7.392,44.352000000000004,479.03,2874
2022-06-03,3.30MM DWR,3.3,AK451,5,7.392,36.96,512.6,2563
2022-06-03,11MM DWR,11.0,AK453,5,24.64,123.2,1449.91,7250
2022-06-03,3.30MM DWR,3.3,AK453,20,7.392,147.84,479.03,9581
2022-06-04,17MM DWR,17.0,AK461,1,38.080000000000005,38.080000000000005,2134.02,2134
2022-06-04,5.50MM DIR,5.5,AK462,16,12.32,197.12,608.8,9741
2022-06-04,11MM DWR,11.0,AK465,1,24.64,24.64,1449.91,1450
2022-06-06,3.30MM DIR,3.3,AK469,3,7.392,22.176000000000002,368.33,1105
2022-06-06,3.30MM DWR,3.3,AK471,4,7.392,29.568,479.03,1916
2022-06-07,3.30MM DWR,3.3,AK479,1,7.392,7.392,512.68,513
2022-06-07,11MM DWR,11.0,AK479,1,24.64,24.64,1505.99,1506
2022-06-07,5.50MM DWR,5.5,AK482,30,12.32,369.6,756.83,22705
2022-06-07,17MM DWR,17.0,AK484,10,38.080000000000005,380.80000000000007,2134.02,21340
2022-06-07,11MM DWR,11.0,AK484,10,24.64,246.4,1421.07,14211
2022-06-07,5.50MM DWR,5.5,AK485,5,12.32,61.6,800.0,4000
2022-06-07,3.30MM DWR,3.3,AK485,10,7.392,73.92,480.0,4800
2022-06-07,3.30MM DWR,3.3,AK489,10,7.392,73.92,479.03,4790
2022-06-08,5.50MM DWR,5.5,AK493,10,12.32,123.2,772.2,7722
2022-06-08,3.30MM DWR,3.3,AK494,8,7.392,59.136,479.03,3832
2022-06-08,17MM DWR,17.0,AK495,1,38.080000000000005,38.080000000000005,2179.0,2179
2022-06-08,3.30MM DWR,3.3,AK495,5,7.392,36.96,512.6,2563
2022-06-08,5.50MM DWR,5.5,AK496,3,12.32,36.96,772.33,2317
2022-06-08,11MM DWR,11.0,AK496,3,24.64,73.92,1449.91,4350
2022-06-08,3.30MM DWR,3.3,AK497,1,7.392,7.392,479.03,479
2022-06-09,5.50MM DWR,5.5,AL002,5,12.32,61.6,772.22,3861
2022-06-09,3.30MM DWR,3.3,AL003,6,7.392,44.352000000000004,512.68,3076
2022-06-09,3.30MM DWR,3.3,AL007,3,7.392,22.176000000000002,479.03,1437
2022-06-09,3.30MM DIR,3.3,AL007,7,7.392,51.744,368.49,2579
2022-06-09,25MM DWR,25.0,AL008,3,56.00000000000001,168.00000000000003,3473.38,10420
2022-06-09,17MM DWR,17.0,AL011,3,38.080000000000005,114.24000000000001,2134.02,6402
2022-06-09,11MM DWR,11.0,AL011,8,24.64,197.12,1449.91,11599
2022-06-09,3.30MM DWR,3.3,AL011,6,7.392,44.352000000000004,479.03,2874
2022-06-09,5.50MM DWR,5.5,AL012,30,12.32,369.6,772.22,23167
2022-06-10,17MM DWR,17.0,AL014,2,38.080000000000005,76.16000000000001,2134.02,4268
2022-06-10,17MM DWR,17.0,AL015,1,38.080000000000005,38.080000000000005,2134.02,2134
2022-06-10,3.30MM DWR,3.3,AL015,5,7.392,36.96,479.03,2395
2022-06-10,3.30MM DIR,3.3,AL015,1,7.392,7.392,368.49,368
2022-06-10,25MM DWR,25.0,AL015,4,56.00000000000001,224.00000000000003,3473.38,13894
2022-06-10,3.30MM DWR,3.3,AL016,10,7.392,73.92,479.03,4790
2022-06-10,3.30MM DWR,3.3,AL018,2,7.392,14.784,512.68,1025
2022-06-11,11MM DWR,11.0,AL020,10,24.64,246.4,1449.91,14499
2022-06-11,3.30MM DWR,3.3,AL026,1,7.392,7.392,479.03,479
2022-06-11,3.30MM DWR,3.3,AL027,50,7.392,369.6,479.03,23952
2022-06-11,17MM DWR,17.0,AL028,2,38.080000000000005,76.16000000000001,2134.02,4268
2022-06-13,7.50MM DWR,7.5,AL034,45,16.8,756.0,929.22,41815
2022-06-13,3.30MM DWR,3.3,AL035,20,7.392,147.84,479.05,9581
2022-06-14,3.30MM DWR,3.3,AL040,20,7.392,147.84,479.03,9581
2022-06-14,3.30MM DWR,3.3,AL040,8,7.392,59.136,479.03,3832
2022-06-14,17MM DWR,17.0,AL040,1,38.080000000000005,38.080000000000005,2134.02,2134
2022-06-14,3.30MM DWR,3.3,AL042,18,7.392,133.056,479.03,8623
2022-06-14,17MM DWR,17.0,AL046,5,38.080000000000005,190.40000000000003,2134.02,10670
2022-06-14,7.50MM DIR,7.5,AL046,5,16.8,84.0,749.8,3749
2022-06-14,3.30MM DWR,3.3,AL046,12,7.392,88.70400000000001,479.03,5748
2022-06-14,3MM HDHMR,3.0,AL045,3,6.720000000000001,20.160000000000004,543.12,1629
2022-06-15,7.50MM DWR,7.5,AL051,40,16.8,672.0,961.27,38451
2022-06-15,17MM DIR,17.0,AL052,10,38.080000000000005,380.80000000000007,1642.17,16422
2022-06-15,25MM DWR,25.0,AL053,2,56.00000000000001,112.00000000000001,3473.38,6947
2022-06-15,11MM DWR,11.0,AL053,5,24.64,123.2,1449.91,7250
2022-06-15,5.50MM DWR,5.5,AL053,20,12.32,246.4,772.22,15444
2022-06-15,3.30MM DWR,3.3,AL053,25,7.392,184.8,479.03,11976
2022-06-15,3.30MM DIR,3.3,AL053,10,7.392,73.92,368.49,3685
2022-06-16,17MM DWR,17.0,AL054,4,38.080000000000005,152.32000000000002,2134.02,8536
2022-06-16,17MM DWR,17.0,AL055,1,38.080000000000005,38.080000000000005,2134.02,2134
2022-06-16,3.30MM DWR,3.3,AL058,15,7.392,110.88000000000001,479.03,7185
2022-06-16,17MM DWR,17.0,AL058,1,38.080000000000005,38.080000000000005,2134.02,2134
